881.88	884.16	
884.16	885.92	
886.03	887.66	
887.77	889.80	
890.05	891.59	
891.71	893.15	
893.34	894.99	
894.99	897.57	
897.57	899.18	
899.18	901.53	
901.53	903.33	
903.33	905.18	
905.31	907.22	
907.22	909.10	
909.26	910.87	
910.96	912.95	
913.14	914.86	
914.97	917.26	
917.43	919.72	
919.86	921.63	
921.74	923.74	
923.98	926.30	
926.42	928.29	
928.29	930.29	
930.35	932.26	
932.26	934.58	
934.68	936.43	
936.43	938.34	
938.50	940.75	
940.94	942.76	
943.01	945.00	
945.19	947.66	
947.66	949.40	
949.57	951.29	
951.29	953.33	
953.33	955.07	
955.16	957.36	
957.36	959.06	
959.27	961.84	
961.91	964.51	
964.64	967.10	
967.19	968.77	
968.87	970.44	
970.53	972.08	
972.28	974.38	
974.70	976.56	
976.67	978.31	
978.52	980.63	
980.80	983.14	
983.31	985.61	
985.61	988.39	
988.53	991.08	
991.27	995.20	
995.57	996.95	
997.06	999.24	
999.24	1001.07	
1001.18	1002.95	
1003.09	1004.60	
1004.74	1006.96	
1007.12	1009.22	
1009.50	1013.46	
1013.74	1015.06	
1015.28	1017.53	
1017.71	1019.29	
1019.51	1021.25	
1021.42	1022.97	
1023.24	1025.08	
1025.26	1027.70	
1027.82	1030.32	
1030.32	1032.19	
1032.34	1034.17	
1034.47	1037.07	
1037.25	1038.68	
1038.91	1041.22	
1041.33	1043.82	
1043.82	1046.15	
1046.26	1048.86	
1049.05	1051.29	
1051.46	1053.48	
1053.65	1055.61	
1055.75	1057.95	
1058.05	1060.47	
1060.65	1063.19	
1063.38	1065.21	
1065.40	1067.01	
1067.15	1069.47	
1069.69	1072.25	
1072.45	1075.05	
1075.16	1076.83	
1076.96	1078.84	
1078.84	1080.55	
1080.70	1082.47	
1082.57	1084.45	
1084.51	1086.36	
1086.28	1088.68	
1088.75	1090.43	
1090.60	1092.54	
1092.67	1095.18	
1095.36	1098.90	
1099.01	1103.01	
1103.01	1104.68	
1104.76	1106.66	
1106.80	1108.43	
1108.54	1110.20	
1110.32	1112.09	
1112.20	1113.85	
1114.00	1115.91	
1115.91	1117.92	
1118.01	1119.74	
1119.88	1121.82	
1121.90	1124.34	
1124.45	1126.24	
1126.31	1128.32	
1128.43	1130.14	
1130.21	1131.98	
1132.09	1133.83	
1133.97	1135.74	
1135.85	1137.55	
1137.73	1139.96	
